CURR_TIME,STATUS,Status code,Longitude,Latitude
2015-Mar-02 10:10:00,surfaced,1,-88.468237,28.764869
2015-Mar-02 10:10:00,water column,0,-88.34698,28.736238
2015-Mar-02 10:10:00,water column,0,-88.348697,28.736971
2015-Mar-02 10:10:00,water column,0,-88.365517,28.739512
2015-Mar-02 10:10:00,surfaced,1,-88.383685,28.744446
2015-Mar-02 10:10:00,surfaced,1,-88.40068,28.744191
2015-Mar-02 10:10:00,surfaced,1,-88.409814,28.747301
2015-Mar-02 10:10:00,surfaced,1,-88.425908,28.751461
2015-Mar-02 10:10:00,surfaced,1,-88.43804,28.753361
2015-Mar-02 10:00:01,surfaced,1,-88.47032,28.768924
2015-Mar-02 10:00:02,surfaced,1,-88.468047,28.767497
2015-Mar-02 10:00:02,surfaced,1,-88.424318,28.751522
2015-Mar-02 10:00:02,water column,0,-88.357477,28.735659
2015-Mar-02 10:00:02,water column,0,-88.360313,28.736638
2015-Mar-02 10:00:02,water column,0,-88.362813,28.736499
2015-Mar-02 10:00:02,water column,0,-88.364326,28.736608
2015-Mar-02 10:00:02,water column,0,-88.367334,28.737944
2015-Mar-02 10:00:02,surfaced,1,-88.37397,28.740707
2015-Mar-02 10:00:02,surfaced,1,-88.385445,28.743847
2015-Mar-02 10:00:01,surfaced,1,-88.415563,28.759552
2015-Mar-02 10:00:02,surfaced,1,-88.375964,28.742204
2015-Mar-02 10:00:02,water column,0,-88.368479,28.739244
2015-Mar-02 11:10:00,surfaced,1,-88.503716,28.789642
2015-Mar-02 11:10:00,water column,0,-88.337978,28.738095
2015-Mar-02 11:10:00,water column,0,-88.352068,28.74108
2015-Mar-02 11:10:00,water column,0,-88.343908,28.740014
2015-Mar-02 11:10:00,surfaced,1,-88.422156,28.756913
2015-Mar-02 11:10:00,surfaced,1,-88.457314,28.765422
2015-Mar-02 11:10:00,surfaced,1,-88.470936,28.771384
2015-Mar-02 11:10:00,surfaced,1,-88.476258,28.773929
2015-Mar-02 11:10:00,surfaced,1,-88.484285,28.777489
2015-Mar-02 11:10:00,surfaced,1,-88.489801,28.779663
2015-Mar-02 11:00:02,surfaced,1,-88.506859,28.785585
2015-Mar-02 11:10:00,surfaced,1,-88.481738,28.776958
2015-Mar-02 11:10:00,water column,0,-88.344109,28.734599
2015-Mar-02 11:10:00,water column,0,-88.347809,28.73607
2015-Mar-02 11:10:00,water column,0,-88.369082,28.741276
2015-Mar-02 11:10:00,surfaced,1,-88.397033,28.749433
2015-Mar-02 11:10:00,surfaced,1,-88.416082,28.752495
2015-Mar-02 11:10:00,surfaced,1,-88.424985,28.755045
2015-Mar-02 11:10:00,surfaced,1,-88.440807,28.758656
2015-Mar-02 11:10:00,surfaced,1,-88.45378,28.76358
2015-Mar-02 11:00:01,surfaced,1,-88.483737,28.780847
2015-Mar-02 11:00:02,surfaced,1,-88.481505,28.779486
2015-Mar-02 11:00:02,surfaced,1,-88.438961,28.758034
2015-Mar-02 11:00:02,water column,0,-88.354595,28.73391
2015-Mar-02 11:00:02,water column,0,-88.361682,28.735361
2015-Mar-02 11:00:02,water column,0,-88.363852,28.735899
2015-Mar-02 11:00:02,water column,0,-88.367984,28.738615
2015-Mar-02 11:00:02,surfaced,1,-88.373922,28.740368
2015-Mar-02 11:00:02,surfaced,1,-88.386607,28.745438
2015-Mar-02 11:00:02,surfaced,1,-88.398944,28.748883
2015-Mar-02 11:00:01,surfaced,1,-88.429758,28.766274
2015-Mar-02 11:00:02,surfaced,1,-88.388739,28.747
2015-Mar-02 11:00:02,water column,0,-88.365572,28.737548
2015-Mar-02 11:00:02,water column,0,-88.36623,28.737839
2015-Mar-02 11:00:02,water column,0,-88.368039,28.738049
2015-Mar-02 11:00:02,water column,0,-88.368952,28.737966
2015-Mar-02 12:10:00,surfaced,1,-88.513919,28.79857
2015-Mar-02 12:10:00,water column,0,-88.3351,28.736567
2015-Mar-02 12:10:00,water column,0,-88.353531,28.739555
2015-Mar-02 12:10:00,water column,0,-88.34314,28.73906
2015-Mar-02 12:10:00,surfaced,1,-88.43647,28.762722
2015-Mar-02 12:10:00,surfaced,1,-88.471982,28.776092
2015-Mar-02 12:10:00,surfaced,1,-88.484308,28.783209
2015-Mar-02 12:10:00,surfaced,1,-88.489552,28.785634
2015-Mar-02 12:10:00,surfaced,1,-88.497473,28.789029
2015-Mar-02 12:10:00,surfaced,1,-88.502926,28.791103
2015-Mar-02 12:00:02,surfaced,1,-88.517191,28.794649
2015-Mar-02 12:10:00,surfaced,1,-88.494948,28.788526
2015-Mar-02 12:10:00,water column,0,-88.341257,28.732966
2015-Mar-02 12:10:00,water column,0,-88.347196,28.735181
2015-Mar-02 12:10:00,water column,0,-88.342408,28.733485
2015-Mar-02 12:10:00,surfaced,1,-88.377908,28.745127
2015-Mar-02 12:10:00,surfaced,1,-88.412208,28.757315
2015-Mar-02 12:10:00,surfaced,1,-88.430838,28.759273
2015-Mar-02 12:10:00,surfaced,1,-88.439895,28.762267
2015-Mar-02 12:10:00,surfaced,1,-88.456271,28.768903
2015-Mar-02 12:10:00,surfaced,1,-88.468808,28.773982
2015-Mar-02 12:00:01,surfaced,1,-88.49687,28.792259
2015-Mar-02 12:00:02,surfaced,1,-88.494673,28.790957
2015-Mar-02 12:00:02,surfaced,1,-88.454448,28.768237
2015-Mar-02 12:00:02,water column,0,-88.351731,28.732166
2015-Mar-02 12:00:02,water column,0,-88.362366,28.733999
2015-Mar-02 12:00:02,water column,0,-88.367177,28.737864
2015-Mar-02 12:00:02,surfaced,1,-88.37998,28.743104
2015-Mar-02 12:00:02,surfaced,1,-88.38656,28.745095
2015-Mar-02 12:00:02,surfaced,1,-88.400164,28.750479
2015-Mar-02 12:00:02,surfaced,1,-88.414388,28.757349
2015-Mar-02 12:00:01,surfaced,1,-88.443552,28.77372
2015-Mar-02 12:00:02,surfaced,1,-88.402427,28.75206
2015-Mar-02 12:00:02,water column,0,-88.362666,28.735743
2015-Mar-02 12:00:02,water column,0,-88.362961,28.735894
2015-Mar-02 12:00:02,water column,0,-88.363735,28.736195
2015-Mar-02 12:00:02,water column,0,-88.365223,28.736311
