Current Time,Status,Status code,Longitude,Latitude
2015-Mar-02 16:00:01,surfaced,1,-88.461504,28.804059
2015-Mar-02 16:00:01,surfaced,1,-88.472844,28.812006
2015-Mar-02 16:00:01,surfaced,1,-88.489496,28.823966
2015-Mar-02 16:00:01,surfaced,1,-88.501614,28.831908
2015-Mar-02 16:00:01,surfaced,1,-88.525528,28.850792
2015-Mar-02 16:10:00,surfaced,1,-88.493081,28.826326
2015-Mar-02 16:10:00,water column,0,-88.351751,28.727117
2015-Mar-02 16:10:00,water column,0,-88.352703,28.72794
2015-Mar-02 16:10:00,water column,0,-88.35157,28.726883
2015-Mar-02 16:10:00,surfaced,1,-88.370437,28.754511
2015-Mar-02 16:10:00,surfaced,1,-88.39008,28.772544
2015-Mar-02 16:10:00,surfaced,1,-88.408492,28.779969
2015-Mar-02 16:10:00,surfaced,1,-88.417283,28.783695
2015-Mar-02 16:10:00,surfaced,1,-88.431456,28.788394
2015-Mar-02 16:10:00,surfaced,1,-88.447996,28.798532
2015-Mar-02 16:00:01,surfaced,1,-88.480422,28.827558
2015-Mar-02 16:00:01,surfaced,1,-88.431308,28.789422
2015-Mar-02 16:00:01,water column,0,-88.35946,28.730769
2015-Mar-02 16:00:01,water column,0,-88.360074,28.730308
2015-Mar-02 16:00:01,water column,0,-88.368359,28.730891
2015-Mar-02 16:00:01,surfaced,1,-88.368448,28.744073
2015-Mar-02 16:00:01,surfaced,1,-88.375485,28.754565
2015-Mar-02 16:00:01,surfaced,1,-88.379146,28.75846
2015-Mar-02 16:00:01,surfaced,1,-88.386289,28.766888
2015-Mar-02 16:00:01,surfaced,1,-88.394362,28.772525
2015-Mar-02 16:00:01,surfaced,1,-88.412613,28.797152
2015-Mar-02 16:10:00,surfaced,1,-88.389145,28.770852
2015-Mar-02 16:10:00,water column,0,-88.3663,28.736089
2015-Mar-02 16:10:00,water column,0,-88.368305,28.735896
2015-Mar-02 16:10:00,water column,0,-88.370434,28.735717
2015-Mar-02 16:10:00,water column,0,-88.371427,28.735597
2015-Mar-02 16:10:00,water column,0,-88.37151,28.736305
2015-Mar-02 16:10:00,surfaced,1,-88.371615,28.741679
2015-Mar-02 16:10:00,surfaced,1,-88.373643,28.750466
2015-Mar-02 16:10:00,surfaced,1,-88.370266,28.749151
2015-Mar-02 16:10:00,water column,0,-88.369558,28.739688
2015-Mar-02 16:10:00,water column,0,-88.370188,28.739366
2015-Mar-02 16:10:00,water column,0,-88.37076,28.739422
2015-Mar-02 18:10:00,surfaced,1,-88.540506,28.878232
2015-Mar-02 18:10:00,water column,0,-88.333594,28.73019
2015-Mar-02 18:10:00,water column,0,-88.369868,28.729719
2015-Mar-02 18:10:00,water column,0,-88.351667,28.734601
2015-Mar-02 18:10:00,surfaced,1,-88.48316,28.844632
2015-Mar-02 18:10:00,surfaced,1,-88.512103,28.865741
2015-Mar-02 18:10:00,surfaced,1,-88.522515,28.873072
2015-Mar-02 18:10:00,surfaced,1,-88.526833,28.875474
2015-Mar-02 18:10:00,surfaced,1,-88.533315,28.878592
2015-Mar-02 18:10:00,surfaced,1,-88.535924,28.877903
2015-Mar-02 18:00:01,surfaced,1,-88.542081,28.871819
2015-Mar-02 18:00:01,surfaced,1,-88.529898,28.877209
2015-Mar-02 18:00:01,water column,0,-88.34351,28.72697
2015-Mar-02 18:00:01,water column,0,-88.357666,28.729583
2015-Mar-02 18:00:01,water column,0,-88.346588,28.726989
2015-Mar-02 18:00:01,surfaced,1,-88.400063,28.791402
2015-Mar-02 18:00:01,surfaced,1,-88.446315,28.818805
2015-Mar-02 18:00:01,surfaced,1,-88.469776,28.829142
2015-Mar-02 18:00:01,surfaced,1,-88.482768,28.842241
2015-Mar-02 18:00:01,surfaced,1,-88.499711,28.854412
2015-Mar-02 18:00:01,surfaced,1,-88.5087,28.862717
2015-Mar-02 18:00:01,surfaced,1,-88.533195,28.882277
2015-Mar-02 18:10:00,surfaced,1,-88.502816,28.856862
2015-Mar-02 18:10:00,water column,0,-88.354459,28.725807
2015-Mar-02 18:10:00,water column,0,-88.355517,28.72671
2015-Mar-02 18:10:00,water column,0,-88.353944,28.724788
2015-Mar-02 18:10:00,surfaced,1,-88.372175,28.772641
2015-Mar-02 18:10:00,surfaced,1,-88.392313,28.788271
2015-Mar-02 18:10:00,surfaced,1,-88.414499,28.801
2015-Mar-02 18:10:00,surfaced,1,-88.421995,28.802492
2015-Mar-02 18:10:00,surfaced,1,-88.434009,28.803486
2015-Mar-02 18:10:00,surfaced,1,-88.455723,28.822152
